"Location","10Gbps","100Gbps"
"Airtel-Chennai-CLS","False","False"
"Airtel-Chennai2-CLS","True","False"
"Allied-Toronto-King-West","True","False"
"Amsterdam-Metro-Direct","True","False"
"Area51-ERDirect","False","True"
"Ascenty-Campinas-Campinas1","True","True"
"Atlanta-Metro-Direct","True","False"
"AtTokyo-Tokyo-CC1","True","False"
"Bezeq-Tel-Aviv-SIVIM","True","True"
"Bharti-Airtel-Mumbai2","True","True"
"Brussels-Metro-Direct","False","False"
"Bulk-Data-OSLO-IX","False","False"
"CDC-Canberra","True","True"
"CDC-Canberra2","True","True"
"Chennai-MAA01","False","False"
"Cheyenne-ERDirect","False","False"
"Chicago-Metro-Direct","False","False"
"ChiefTelecom-Taipei","True","True"
"ChunghwaTelecom-Taipei","True","True"
"Cologix-Minneapolis-MIN3","True","False"
"Cologix-Montreal-MTL3","True","False"
"Cologix-Montreal-MTL7","True","False"
"Cologix-Toronto-TOR1","True","True"
"CoreSite-Chicago-CH1","True","False"
"Coresite-Denver-DE1","True","False"
"CoreSite-Los-Angeles-LA1","True","True"
"CoreSite-Los-Angeles-LA3","False","False"
"CoreSite-Reston-VA2","False","False"
"CoreSite-Reston-VA3","False","False"
"CoreSite-Santa-Clara-SV7","True","False"
"CyrusOne-San-Antonio-1","True","True"
"Dallas-Metro-Direct","True","False"
"Data4Italy-Milan","True","True"
"DigiPlex-Oslo-Ulven","True","False"
"DRT-Atlanta2-ATL14","True","False"
"DRT-Brussels-BRU4","True","False"
"DRT-Chicago-CHI31","False","False"
"DRT-Dallas2-DFW10","True","False"
"DRT-Madrid-MAD3","True","False"
"DRT-Vienna-VIE1","True","True"
"Du-Datamena-Dubai-DX1","True","True"
"Dublin-Metro-Direct","False","False"
"EdgeConnex-Phoenix-PHX01","False","False"
"EdgeConneX-Portland-POR01","True","False"
"EdgeConneX-Santiago-SPA","True","False"
"Equinix-Amsterdam-AM5","True","True"
"Equinix-Ashburn-DC2","False","False"
"Equinix-Ashburn-DC6","True","False"
"Equinix-Atlanta-AT1","True","False"
"Equinix-Chicago-CH1","False","False"
"Equinix-Dallas-DA3","True","False"
"Equinix-Dallas-DA6","True","False"
"Equinix-Dublin-DB3","True","False"
"Equinix-Frankfurt-FR7","True","False"
"Equinix-Geneva-GV2","True","True"
"Equinix-Hong-Kong-HK1","True","False"
"Equinix-Hong-Kong-HK2","False","False"
"Equinix-London-LD5","True","False"
"Equinix-Los-Angeles-LA1","True","False"
"Equinix-Madrid-MD2","True","False"
"Equinix-Miami-MI1","True","False"
"Equinix-New-York-NY5","True","False"
"Equinix-New-York-NY9","False","False"
"Equinix-Osaka-OS1","True","False"
"Equinix-Paris-PA4","True","False"
"Equinix-Rio-de-Janeiro-RJ2","True","False"
"Equinix-San-Jose-SV1","False","False"
"Equinix-San-Jose-SV10","True","False"
"Equinix-Sao-Paulo-SP2","True","False"
"Equinix-Seattle-SE2","True","False"
"Equinix-Singapore-SG1","True","False"
"Equinix-Stockholm-SK1","True","False"
"Equinix-Sydney-SY2","True","True"
"Equinix-Tokyo-TY4","True","False"
"Equinix-Warsaw-WA1","False","True"
"Equinix-Zurich-ZH5","True","False"
"Etisalat-Abu-Dhabi-KDC","True","False"
"Etisalat-Dubai-DXB20","True","True"
"Global-Switch-Singapore","True","False"
"GreenMountain-Stavanger","True","False"
"Hillside-Tel-Aviv-SDS","True","True"
"iAdvantage-Hong-Kong2-MEGA-i","True","True"
"Interxion-Amsterdam2-AMS8","True","False"
"Interxion-Copenhagen","True","True"
"Interxion-Dublin-DUB2","True","False"
"Interxion-Frankfurt-FRA11","True","False"
"Interxion-Madrid-MAD1","True","False"
"Interxion-Marseille-MRS3","True","True"
"Interxion-Paris-PAR5","True","True"
"Interxion-Zurich-ZUR2","True","True"
"IRIDEOS-Milan","True","True"
"Jakarta-Metro-Direct","True","False"
"KINX-Seoul-Gasan","True","False"
"KIO-Networks-Queretaro-QR01","True","False"
"KT-Seoul-Mokdong2","True","False"
"LCL-Brussels-Diegem","True","False"
"Madrid-Metro-Direct","True","False"
"Meeza-Doha-MV2","True","True"
"Milan-Metro-Direct","True","False"
"NEC-Tokyo","True","True"
"NeutraDC-Jakarta","True","False"
"NextDC-Melbourne-MEL01","True","True"
"NextDC-Perth-PER1","True","False"
"NextDC-Sydney-S1","True","True"
"NTT-GDC-Berlin-1","True","False"
"NTT-GDC-Jakarta2","True","True"
"NTT-GDC-Vienna","True","True"
"Ooredoo-Doha-QDC5","True","True"
"PhoenixNAP-Phoenix2","True","False"
"PortalTestLocation","False","True"
"Reliance-Chennai-MAA31","True","True"
"Reliance-Jamnagar-JGA20","False","False"
"Reliance-Mumbai-IDCRCP","True","True"
"Reliance-Nagpur-NAG20","True","False"
"Sabey-Data-Centers-Quincy-A","True","True"
"Singapore-Metro-Direct","True","False"
"STTGDC-Pune-PNQDC1","True","True"
"Switch-Las-Vegas","True","False"
"Taipei-Metro-Direct","True","False"
"Tata-Chennai-VSB","True","True"
"Tata-Mumbai-LVSB","True","True"
"Telehouse-London2","True","False"
"Telin-Jakarta-CDCI","False","False"
"Teraco-Cape-Town-CT1","True","False"
"Teraco-Johannesburg-JT1","True","False"
"Tivit-Sao-Paulo-TSM","True","True"
"TTDotcom-Malaysia-Menara","True","False"
"Vantage-Quebec-City-QC21","False","False"
"VantageDC-Newport-NGD","True","True"
"Vienna-Metro-Direct","False","False"
"Vocus-Auckland-VDCAKL01","True","True"
"Washington DC-Metro-Direct","True","False"
"Zurich-Metro-Direct","True","False"
